cycle,ambient_temperature,datetime,capacity
1,24,2008-04-02 15:25:41,1.89105229539079
2,24,2008-04-02 19:43:48,1.880637027686859
3,24,2008-04-03 00:01:06,1.8806626717011388
4,24,2008-04-03 04:16:37,1.8807709009833444
5,24,2008-04-03 08:33:25,1.8794508728285058
6,24,2008-04-03 12:55:10,1.8807003517117404
7,24,2008-04-03 17:17:16,1.8799352523566075
8,24,2008-04-03 21:28:14,1.8815088124038797
9,24,2008-04-04 01:38:15,1.8696907870385844
10,24,2008-04-04 05:48:08,1.870052380139199
11,24,2008-04-04 09:57:19,1.8700442394188577
12,24,2008-04-04 17:56:27,1.8596518987766364
13,24,2008-04-04 22:01:54,1.8590746560862206
14,24,2008-04-05 02:20:26,1.8590084577709232
15,24,2008-04-05 06:25:01,1.8593622586957048
16,24,2008-04-05 10:30:32,1.8587355450601035
17,24,2008-04-05 14:34:41,1.847817291322145
18,24,2008-04-05 18:39:25,1.8485252916137047
19,24,2008-04-05 22:46:35,1.848378951850034
20,24,2008-04-18 21:10:19,1.8807805437609766
21,24,2008-04-19 02:29:09,1.8814721597443598
22,24,2008-04-19 07:47:15,1.8810954313244785
23,24,2008-04-19 13:01:42,1.8710089649779995
24,24,2008-04-19 18:27:29,1.8701995151941375
25,24,2008-04-19 23:41:55,1.8706715362800985
26,24,2008-04-20 04:54:41,1.8596124644020169
27,24,2008-04-20 10:16:28,1.860033909718346
28,24,2008-04-20 15:37:05,1.8591653109160768
29,24,2008-04-20 20:50:38,1.8481398178778288
30,24,2008-04-21 02:15:02,1.849201702126164
31,24,2008-04-22 15:33:49,1.8834677437950846
32,24,2008-04-22 20:26:18,1.8628211117905844
33,24,2008-04-23 01:18:11,1.852085039652352
34,24,2008-04-23 06:18:19,1.8469504648208708
35,24,2008-04-23 11:08:00,1.836828431169018
36,24,2008-04-23 16:06:25,1.8371619619672275
37,24,2008-04-23 21:02:58,1.8316722583718854
38,24,2008-04-24 01:51:33,1.8211470951317783
39,24,2008-04-24 06:50:00,1.816506091511515
40,24,2008-04-24 11:49:24,1.8113815601504555
41,24,2008-04-24 16:45:56,1.8116056333939583
42,24,2008-04-24 21:38:11,1.8060548955557403
43,24,2008-04-25 12:03:44,1.8132041826994056
44,24,2008-04-25 20:03:55,1.8062641938283535
45,24,2008-04-26 01:04:35,1.7958310249900458
46,24,2008-04-26 05:57:35,1.7858852600390451
47,24,2008-04-26 10:58:25,1.7803268604502753
48,24,2008-04-29 12:15:56,1.8150756899575577
49,24,2008-04-29 17:05:27,1.8157025154845838
50,24,2008-04-29 22:00:04,1.8002432178056673
51,24,2008-04-30 02:43:55,1.7904476205609308
52,24,2008-04-30 07:41:42,1.780343032300132
53,24,2008-04-30 12:28:49,1.775328769596812
54,24,2008-04-30 17:20:16,1.7702629734732853
55,24,2008-04-30 22:14:54,1.760081061854204
56,24,2008-05-01 03:15:33,1.749647593537689
57,24,2008-05-01 08:16:03,1.749650075059311
58,24,2008-05-01 13:14:24,1.745028739214683
59,24,2008-05-01 18:11:10,1.7396457455286727
60,24,2008-05-01 23:10:15,1.7285642277717963
61,24,2008-05-02 03:53:34,1.723900324588418
62,24,2008-05-02 08:44:40,1.7139788776485192
63,24,2008-05-02 13:43:05,1.7139701997004613
64,24,2008-05-02 19:07:48,1.7036521173638766
65,24,2008-05-02 23:24:17,1.7040137474382486
66,24,2008-05-03 04:13:08,1.6935716157343033
67,24,2008-05-03 09:10:19,1.6876577363877656
68,24,2008-05-03 14:04:34,1.6830744356583152
69,24,2008-05-03 18:58:13,1.6779270142025482
70,24,2008-05-03 23:42:30,1.6732060275966172
71,24,2008-05-04 04:41:40,1.6674367208253988
72,24,2008-05-04 09:40:11,1.6622662630667526
73,24,2008-05-04 14:38:13,1.6574243065763063
74,24,2008-05-04 19:37:07,1.652538684928734
75,24,2008-05-05 00:35:53,1.6472174627573322
76,24,2008-05-05 05:28:13,1.6364136810898071
77,24,2008-05-05 11:41:31,1.6362554312048496
78,24,2008-05-05 20:40:08,1.641119179218384
79,24,2008-05-06 01:38:46,1.6315700789656966
80,24,2008-05-06 06:37:06,1.621213282987236
81,24,2008-05-06 11:25:21,1.6164273214762122
82,24,2008-05-06 16:23:36,1.615823510161921
83,24,2008-05-06 21:21:49,1.61672418029789
84,24,2008-05-07 02:17:25,1.6108655863730026
85,24,2008-05-07 07:04:02,1.6006603374309376
86,24,2008-05-07 12:01:49,1.5959174487005663
87,24,2008-05-07 16:59:29,1.5962179519462243
88,24,2008-05-07 21:56:09,1.5958065114633972
89,24,2008-05-08 02:53:49,1.5906507821480704
90,24,2008-05-09 12:25:07,1.6888211161855506
91,24,2008-05-09 20:28:09,1.6259938279733204
92,24,2008-05-10 01:21:56,1.6157433862812898
93,24,2008-05-10 06:18:12,1.6056626764846538
94,24,2008-05-10 11:16:04,1.5949746921524348
95,24,2008-05-10 16:11:56,1.5904102438871945
96,24,2008-05-10 21:07:54,1.5853517062988178
97,24,2008-05-11 02:05:21,1.5799737147242376
98,24,2008-05-11 06:55:27,1.5752185465278068
99,24,2008-05-11 11:52:47,1.569798484648868
100,24,2008-05-11 16:49:58,1.5702565375950357
101,24,2008-05-11 21:47:12,1.565249873909438
102,24,2008-05-12 02:36:58,1.559633933561147
103,24,2008-05-12 12:56:34,1.5649820533392105
104,24,2008-05-12 18:59:59,1.57497949984227
105,24,2008-05-12 23:53:17,1.5652811168780458
106,24,2008-05-13 04:35:25,1.559755497470126
107,24,2008-05-13 09:24:04,1.549897685670499
108,24,2008-05-13 14:20:24,1.5438771531345021
109,24,2008-05-13 19:04:20,1.5450187488690073
110,24,2008-05-13 23:59:26,1.5445940154102908
111,24,2008-05-14 04:55:57,1.5343086721758876
112,24,2008-05-14 09:52:22,1.5287603942958483
113,24,2008-05-14 14:35:22,1.5289260249179843
114,24,2008-05-14 19:31:39,1.529091650133123
115,24,2008-05-15 00:27:55,1.5239059324661248
