cycle,ambient_temperature,datetime,capacity
1,24,2008-04-02 15:25:41,1.8564874208181574
2,24,2008-04-02 19:43:48,1.846327249719927
3,24,2008-04-03 00:01:06,1.8353491942234077
4,24,2008-04-03 04:16:37,1.8352625275821128
5,24,2008-04-03 08:33:25,1.8346455082120419
6,24,2008-04-03 12:55:10,1.8356616600675495
7,24,2008-04-03 17:17:16,1.8351461429226603
8,24,2008-04-03 21:28:14,1.8257567905665537
9,24,2008-04-04 01:38:15,1.8247738529891333
10,24,2008-04-04 05:48:08,1.824613268496936
11,24,2008-04-04 09:57:19,1.8246195526864504
12,24,2008-04-04 17:56:27,1.8142019357673917
13,24,2008-04-04 22:01:54,1.8137521577549054
14,24,2008-04-05 02:20:26,1.8134404914735822
15,24,2008-04-05 06:25:01,1.8025980036306504
16,24,2008-04-05 10:30:32,1.80210690024615
17,24,2008-04-05 14:34:41,1.802579500826209
18,24,2008-04-05 18:39:25,1.8030683142834096
19,24,2008-04-05 22:46:35,1.8027776247196041
20,24,2008-04-18 21:10:19,1.8470259949329193
21,24,2008-04-19 02:29:09,1.847417311283644
22,24,2008-04-19 07:47:15,1.8361774213478947
23,24,2008-04-19 13:01:42,1.8257807475776242
24,24,2008-04-19 18:27:29,1.8251136435078368
25,24,2008-04-19 23:41:55,1.8255815042203762
26,24,2008-04-20 04:54:41,1.8140311275083907
27,24,2008-04-20 10:16:28,1.8147691941158939
28,24,2008-04-20 15:37:05,1.813969388710352
29,24,2008-04-20 20:50:38,1.802765665167823
30,24,2008-04-21 02:15:02,1.804077040117352
31,24,2008-04-22 15:33:49,1.8518025516704486
32,24,2008-04-22 20:26:18,1.8307038456739428
33,24,2008-04-23 01:18:11,1.8199041089501267
34,24,2008-04-23 06:18:19,1.8093079637028517
35,24,2008-04-23 11:08:00,1.80460990458052
36,24,2008-04-23 16:06:25,1.7993770651972192
37,24,2008-04-23 21:02:58,1.7884432335370462
38,24,2008-04-24 01:51:33,1.7829230484252723
39,24,2008-04-24 06:50:00,1.7730337158018288
40,24,2008-04-24 11:49:24,1.773037755078937
41,24,2008-04-24 16:45:56,1.7678721106662054
42,24,2008-04-24 21:38:11,1.7623150704093087
43,24,2008-04-25 12:03:44,1.7676172924938447
44,24,2008-04-25 20:03:55,1.762668359743147
45,24,2008-04-26 01:04:35,1.7517304870664143
46,24,2008-04-26 05:57:35,1.7418496047960008
47,24,2008-04-26 10:58:25,1.7360913511847138
48,24,2008-04-29 12:15:56,1.7936240148573608
49,24,2008-04-29 17:05:27,1.7831890223273275
50,24,2008-04-29 22:00:04,1.7673642076278957
51,24,2008-04-30 02:43:55,1.7570177850353066
52,24,2008-04-30 07:41:42,1.7468706179837907
53,24,2008-04-30 12:28:49,1.7417172507457144
54,24,2008-04-30 17:20:16,1.7364225056478186
55,24,2008-04-30 22:14:54,1.7263217239235826
56,24,2008-05-01 03:15:33,1.7158065389330133
57,24,2008-05-01 08:16:03,1.710533351135192
58,24,2008-05-01 13:14:24,1.706014499648521
59,24,2008-05-01 18:11:10,1.7003110272642588
60,24,2008-05-01 23:10:15,1.6945798601797895
61,24,2008-05-02 03:53:34,1.6849029086609286
62,24,2008-05-02 08:44:40,1.6744741591159717
63,24,2008-05-02 13:43:05,1.6745692479879102
64,24,2008-05-02 19:07:48,1.663716375981405
65,24,2008-05-02 23:24:17,1.659013868748246
66,24,2008-05-03 04:13:08,1.6538540573335014
67,24,2008-05-03 09:10:19,1.642653782130131
68,24,2008-05-03 14:04:34,1.6378578430223698
69,24,2008-05-03 18:58:13,1.6327350407099108
70,24,2008-05-03 23:42:30,1.6277528915533617
71,24,2008-05-04 04:41:40,1.622125485521159
72,24,2008-05-04 09:40:11,1.6113256603765849
73,24,2008-05-04 14:38:13,1.6065631397488385
74,24,2008-05-04 19:37:07,1.6015142233917594
75,24,2008-05-05 00:35:53,1.590369231400328
76,24,2008-05-05 05:28:13,1.5857889968242211
77,24,2008-05-05 11:41:31,1.5849430707374117
78,24,2008-05-05 20:40:08,1.5955263892495937
79,24,2008-05-06 01:38:46,1.5747301747801037
80,24,2008-05-06 06:37:06,1.5649019950937946
81,24,2008-05-06 11:25:21,1.5597659473370362
82,24,2008-05-06 16:23:36,1.5594815668184234
